"titulo","sueldo","ciudadModalidad","horario","idioma","requisitos"
"Technical Lead Javascript Senior - Híbrido en AsTecI","$ 30,000 a 35,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","En AsTecI contamos con 30 años de trayectoria en el sector de Tecnologías de la Información, colaborando con empresas líderes a nivel nacional e internacional. Estamos en búsqueda de: Technical Lead Sr o Jr avanzado Requisitos: Lic. Informática, Ing. Sistemas computacionales o afín Nivel de inglés: Avanzado Mínimo 5 años de experiencia en programación Conocimientos y herramientas: Java (17+), JavaScript Spring Boot, Spring Security JUnit, Mockito, Jest, SDUI Unit testing, PACT, PACT Broker OAuth2 MySQL, PostgreSQL, DB2 MongoDB, Redis Gradle, Jenkins, Git, GitFlow, SonarQube Checkmarx, Fortify Dynatrace, Splunk, herramientas APM Diseño y consumo de servicios REST Patrones de diseño orientado a objetos, buenas prácticas de arquitectura Scrum, Agile, experiencia en todas las fases del SDLC Principales Responsabilidades: Liderar el diseño, desarrollo e implementación de soluciones de software Brindar orientación técnica y mentoría al equipo de desarrolladores Garantizar la calidad, seguridad y escalabilidad del código Coordinar tareas técnicas y colaborar con los colaboradores Ofrecemos: Atractivo sueldo de acuerdo a experiencia Prestaciones de ley Esquema hibrido Seguro de vida Seguro de Gastos Médicos Menores y Mayores Apoyo para teletrabajo"
"Software Development Tester JavaScript Senior en Global Delivery Center Capgemini","Sueldo oculto","Aguascalientes","Empleado de tiempo completo","Inglés : Nivel Avanzado","Software Development Engineer in Test Capgemini is a world leader in R&D and engineering services. We re-imagine possibilities and innovate with technology to turn ideas that change industries into reality. Join us and build a career full of opportunities where your work makes a real difference. About the Role You will join an agile squad as a Software Development Engineer in Test (SDET) , leading quality initiatives and the design and evolution of automation frameworks. You will collaborate with a diverse team to ensure every release meets the highest standards of performance, security, and user experience. Key Responsibilities Define the overall test strategy , plan, and execute automated suites (UI, API, and mobile). Develop and maintain reusable automation frameworks (JavaScript, Java, or other languages). Implement CI/CD pipelines that integrate continuous testing and quality reporting. Document test cases in ALM tools and perform exploratory testing when necessary. Reproduce, analyze, and communicate defects, enabling their rapid resolution within the squad. Main Requirements Minimum English level B2+ (fluent written and spoken communication for multicultural teamwork). Bachelor’s degree in Computer Engineering, Computer Science, or related field. 6+ years building automated tests in at least one language (Java, JavaScript, etc.). Experience testing APIs with Postman, REST Assured, or similar tools. Knowledge of testing for native mobile and web applications (UI + API). Proficiency with Git repositories and agile methodologies (Scrum/Kanban). Experience with test-management tools (VersionOne, Quality Center, Zephyr, etc.). Nice-to-Have Skills Work experience in CI/CD environments (GitLab CI, Jenkins, CircleCI, etc.) and Continuous Testing practices. Knowledge of WebdriverIO , Postman/Newman, and BDD frameworks (Cucumber). Accessibility testing and milestone-based release coordination. Fundamentals of networking/proxy, web caching, and cloud environments. Certifications in Quality Engineering or Test Automation. What you will love about working with us: At Capgemini Engineering we’re always looking ahead. We reimagine possibilities, and we innovate with technology to bring ideas to life. We encourage flexibility in how, when, and where people get their work done, allowing a better work-life balance, and greater empowerment. They partner with their managers to find an arrangement that works best for their role and their circumstances. We offer game-changing programs to accelerate the growth of our people and the development of their expertise. What you need to know about what we offer: Excellent compensation and benefits Career path, trainings and real growth opportunities Engaging and challenging projects. Excellent work environment and culture. Open and Effective management. Highly professional and collaborative teams. About Capgemini Group Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 300,000 team members in nearly 50 countries. With its strong 50-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. At Capgemini Mexico, we aim to attract the best talent and are committed to creating a diverse and inclusive work environment, so there is no discrimination based on race, sex, sexual orientation, gender identity or expression, or any other characteristic of a person. All applications welcome and will be considered based on merit against the job and/or experience for the position."
"Desarrollador Front End Senior - Híbrido (JavaScript, React) en AsTecI","Sueldo oculto","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Somos una Consultora de TI con diversos clientes nacionales e internacionales. Buscamos un Desarrollador Frontend Senior enfocado al desarrollo moderno con sólida experiencia en Java Script, Type Script y React Js. Somos una Consultora de TI con diversos clientes nacionales e internacionales. Buscamos un Desarrollador Frontend Senior enfocado al desarrollo moderno con sólida experiencia en Java Script, Type Script y React Js. Requisitos clave: + 5 años de experiencia en el desarrollo del sofware. Java Script, TypeScript. Frameworks : ReactJS, NestJS, NextJS Testing: Jest, testing en general Uso de patrones de Diseño. Seguridad: Fortify, Checkmarx, Blackduck Herramientas CI: Jenkins, Git, GitFlow, Bitbucket, JIRA, Confluence, Sonar,Checkmarx, fortify Dynatrace, Splunk Black duck Metolologías Agil, Scrum. Conocimiento de Desarrollo e Integración con REST APIs. Inglés 80% Actividades: Diseño, desarrollo, integración, pruebas e implementación eficaces de requisitos empresariales complejos. Aplicación de conocimientos tecnológicos al diseño de modelos y/o sistemas, formulación de diseños técnicos detallados, investigación y recomendación de soluciones técnicas, desarrollo y entrega de aplicaciones mediante metodologías de desarrollo ágil. Capacidad para trabajar al más alto nivel técnico en el desarrollo de sistemas, manteniendo un sólido conocimiento de las estrategias y aplicaciones empresariales de gestión patrimonial. Liderazgo técnico, coordinación entre laboratorios, soporte a la producción y soporte a la implementación de versiones. Ofrecemos: Salario competitivo. Prestaciones de Ley. Seguro de gastos médicos menores y mayores. Esquema hibrido. Apoyo económico por teletrabajo. INTERESADOS FAVOR DE POSTULARSE ATRAVES DE ESTE MEDIO PARA AGENDAR UNA ENTREVISTA DE TRABAJO. "
"Software Engineer (Ruby on Rails, JavaScript) - Senior - Remoto en Alcor","$ 80,000 a 90,000 MXN (Bruto)","Remoto: México","Empleado de tiempo completo","Inglés : Nivel Intermedio","About the job Software Engineer (RoR, Javascript) Software Engineer (RoR, Javascript) About the Role As a Software Engineer, you'll join our dynamic Technology Team. You'll play a critical role in every step of the software development life cycle, working closely with others to brainstorm and build solutions to support the school districts with whom we partner. In this role, you'll work collaboratively and efficiently and build skills across technology, including AI. The team has strong technical chops, and we value learning and challenging ourselves. From guest talks, internal demos, knowledge sharing spaces, book clubs, hackathons, and open-source projects, we try to improve ourselves as we help schools worldwide do the same. Responsibilities: Work on fascinating and challenging engineering challenges, like: building out real-time data pipelines of a students important day-to-day events into our platform, including the quantifiable and qualitative elements of a students experience designing a highly available online platform that calculates real time analytics across billions data points refining our products user experience so that this firehose of data is truly useful, actionable information (as opposed to yet another data dashboard) integrating the latest educational research and data science tools into our platform, so that our clients have access to the best techniques that they can use to change outcomes for students Design, prototype, write, test, review, debug, deploy, monitor, and occasionally be frustrated by code. Teach other engineers the tools, tricks, and techniques youve become proficient in, and be open to learning and being challenged by your teammates to learn more. Our Ideal Candidate Has: 4+ years of full-time, professional web app development experience. You've seen your products launch to great success as well as spectacular failure, and you've learned lessons from both. Proficiency with  Ruby  on Rails, Vue.js & JavaScript Experience with Docker Database experience with Postgres Skill in maintaining and troubleshooting existing web applications Strong verbal and written communication skills A track record of being highly collaborative, accountable, and reliable Interest and enthusiasm for AI technologies Bonus Points: Expertise in AI development Knowledge of Terraform and Cloudformation (a plus) Experience with Datadog Security Engineering experience"
"Desarrollador de aplicaciones Adobe Experience Manager AEM - Senior (Javascript) - Híbrido en Adecco","$ 70,000 a 80,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Adecco organización internacional que de RH que otorga diversos servicios como personal temporal, colocación permanente, transición profesional, capacitación y desarrollo de talento, así como externalización y consultoría. Adecco en conjunto con una organización canadiense líderes mundiales en información y soluciones para empresas y profesionales para ofrecer respuestas confiables que apoyen la gestión y las decisiones críticas en los mercados de comercio exterior, contabilidad, derecho y fiscalidad.   Puesto   Buscamos un desarrollador de aplicaciones en AEM Adobe Experience Manager.   Objetivo   ·          Será responsable del diseño y desarrollo de aplicaciones de software en la plataforma Adobe Experience Cloud, así como en otros sistemas backend como Dell Boomi, Salesforce, Service Cloud, etc. ·          D iseño de interfaces de usuario, la gestión de flujos de trabajo de contenido, la implementación de servicios web, la integración con sistemas backend, la configuración de AEM Assets y la resolución de problemas relacionados con estas tecnologías.   Ofrecemos   ·          Sueldo de 78K brutos mensual ·          SGMM y menores ·          Seguro de vida ·          65% prima ·          PTU ·          30 días de aguinaldo ·          Vales de despensa topados ·          Contrato con organización canadiense. ·          Prestaciones de ley (15 días de aguinaldo, 25% de prima vacacional, 12 días de vacaciones, aportaciones al fondo de vivienda, al fondo de jubilación y a la seguridad social). ·          Zona de trabajo: Hibrido (dos días) cerca de Torre de Caballito CDMX   Funciones   ·          Diseñar y desarrollar soluciones personalizadas aprovechando el conjunto de productos de Adobe Experience Cloud, incluyendo, entre otros, Adobe Experience Manager (AEM), Adobe Experience Manager (AEM) Assets, Adobe Analytics, Adobe Target, Adobe Campaign, Adobe Launch y otros productos de Adobe. ·          Implementar flujos de trabajo personalizados para la gestión de contenido dentro de AEM. ·          Crear componentes, plantillas y diseños de página personalizados utilizando HTML5, CSS3, JavaScript, jQuery, XML, JSON y otras tecnologías de desarrollo web. ·          Integrar API de terceros en la infraestructura existente mediante servicios web RESTful u otros métodos de integración. ·          Solucionar problemas relacionados con el ajuste del rendimiento de las aplicaciones y las mejores prácticas de seguridad. ·          Realizar revisiones de código para garantizar el cumplimiento de los estándares de calidad durante todo el ciclo de vida del proyecto. ·          Colaborar estrechamente con equipos multifuncionales, incluyendo propietarios de productos, diseñadores, desarrolladores, ingenieros de control de calidad, ingenieros de DevOps, redactores técnicos, gerentes de éxito del cliente, especialistas en marketing, representantes de ventas, socios, clientes, usuarios finales, etc., para garantizar la entrega puntual de las funciones según lo previsto. ·          Participar activamente en ceremonias ágiles como sesiones de planificación de sprints, reuniones diarias, retrospectivas y demostraciones de sprints. ·          Aportar ideas para mejorar los procesos y aumentar la eficiencia del equipo. ·          Mantenerse al día de las últimas tendencias tecnológicas relacionadas con el ecosistema de Adobe Experience Cloud, así como de las tendencias emergentes en áreas adyacentes como la computación en la nube, la inteligencia artificial/aprendizaje automático, la ciencia de datos, el Internet de las cosas (IoT), la realidad aumentada/realidad virtual (RA/RV), la cadena de bloques, la ciberseguridad, etc., compartiendo los conocimientos adquiridos a través de la investigación o la experiencia personal con los colegas cuando sea necesario.   Acerca de ti   ·          Compromiso con la resolución colaborativa de problemas, el diseño sofisticado y el desarrollo de productos de calidad. ·          Sólida experiencia en desarrollo e integración de software, con preferencia por aquellos con experiencia en Adobe Experience Manager (AEM). ·          Capacidad para liderar e inspirar a un equipo en la creación de aplicaciones web adaptables, empleando prácticas modernas de UI/UX. ·          Habilidades en desarrollo AEM, incluyendo Java, HTL, CSS, JavaScript y otras tecnologías relevantes. ·          Experiencia en la integración de AEM con sistemas de terceros a través de diversas API y servicios. ·          Buen conocimiento de plataformas CMS, tecnologías en la nube, sistemas backend y metodologías ágiles. ·          Interés en el comercio electrónico y la interacción con el cliente. ·          Ingles avanzado  "
"Web Flow Developer en ISITA","Sueldo oculto","Remoto: LATAM","Empleado de tiempo completo","Inglés : Nivel Avanzado","Core Tools & Skills : - Web flow (design and development) - JavaScript for accessibility hacks and DOM adjustments - Swiper.js or alternative libraries for compliant sliders/carousels - CMS integration with component reusability - ADA-compliant component development Desired Add-ons: - CMS or component library built from Figma designs - Drag-and-drop functionality inside Web flow using reusable, compliant components - Optional: accessibility enhancements embedded into reusable Web flow components"
"Desarrollador Front End Angular Middle en BI-SIM","$ 15,000 a 20,000 MXN (Neto)","Ciudad de México","Empleado de tiempo completo","Inglés : Nivel Intermedio","Se requiere: • Mínimo de experiencia 2 años Dominio en: USO de ANGULAR HTML, CSS JavaScript Frameworks como React, Angular o Vue.js. Desarrollo de aplicaciones complejas Optimización de rendimiento Transformación de diseño en Código funcional y/o maquetas Implementación de diseños responsivos,  diseño adaptable y consultas de medios.  Testing y Depuración Otras habilidades • Creatividad, lógica y capacidad para resolver problemas. • Colaboración con área de Diseño Prestaciones de ley (100 %) Modalidad Presencial Sueldo neto mensual 18 a 23 mil pesos "
"Full Stack Developer Junior - Híbrido en Muneris Consultoría","$ 25,000 a 30,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Básico","POSICIÓN: FULL STACK DEVELOPER JR/SR Stack Tecnológico Deseado: Frontend: React.js, Tailwind CSS, HTML5, JavaScript ES6+ Backend: Node.js, Express.js Base de Datos: MongoDB y/o PostgreSQL Control de Versiones: Git (GitHub/GitLab) Testing: Jest, React Testing Library (deseable) DevOps Básico: Familiaridad con CI/CD, Docker (deseable) Requisitos Indispensables: 1 año de experiencia (profesional o en proyectos académicos personales significativos). Conocimiento práctico del ciclo completo de desarrollo web. Capacidad para entender y modificar código ajeno. Comunicación clara y documentación básica. Portafolio en GitHub con al menos 1 proyecto funcional (CRUD completo). Requisitos Deseables: Familiaridad con metodologías ágiles. Contribuciones en equipo o proyectos colaborativos. Conocimiento de buenas prácticas de seguridad y performance. Experiencia integrando servicios de terceros (APIs REST, Firebase, Auth0, etc.). Soft Skills: Proactividad y disposición para aprender. Trabajo en equipo y comunicación colaborativa. Enfoque en resolución de problemas. Capacidad de autogestión y responsabilidad en entregables. Adaptabilidad a cambios técnicos y de requerimientos. "
"Desarrollador Frontend Senior - Híbrido en AsTecI","$ 35,000 a 40,000 MXN (Neto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Somos una Consultora de TI con diversos clientes nacionales e internacionales. ¿Tienes más de 5 años en desarrollo frontend, dominio de JavaScript ¡Esta oportunidad es para ti! REQUISITOS: 5+ años de experiencia en desarrollo frontend JavaScript (mínimo 3 años) Frameworks/librerías: Jest, NPM, SDUI, NestJS o Next.js Pruebas: Unit Testing, PACT, CDC Testing, JUnit, Mockito Diseño y consumo de servicios REST OAuth2, Event-Driven Architecture Bases de datos: MySQL, PostgreSQL, SQL, DB2, MongoDB, Redis Conocimientos de backend: Java 17+, Spring Framework DevOps: Gradle, Git, GitFlow, Jenkins, Sonar, Checkmarx, Fortify Monitoreo: Dynatrace, Splunk Experiencia trabajando en entornos Agile/Scrum Nivel de inglés: Intermedio-avanzado (mínimo 80%) ACTIVIDADES: Liderar el diseño, desarrollo e implementación de soluciones frontend. Colaborar con diseñadores, product owners, backend y arquitectos técnicos. Implementar pruebas unitarias, de integración y de contrato (CDC, Pact). Asegurar buenas prácticas de seguridad, escalabilidad y performance. Participar en revisiones de código, monitoreo de calidad y releases. Aportar soluciones innovadoras y resolver obstáculos técnicos. OFRECEMOS:  Salario competitivo.   Prestaciones de Ley. Seguro de gastos médicos menores y mayores. Esquema hibrido.  Apoyo económico por teletrabajo. INTERESADOS FAVOR DE POSTULARSE ATRAVES DE ESTE MEDIO PARA AGENDAR UNA ENTREVISTA DE TRABAJO.  "
"Sr. Software Engineer (Full Stack) - Remoto","Sueldo oculto","Remoto: México","Empleado de tiempo completo","Inglés : Nivel Avanzado","¡Se busca a Sr. Full Stack Developer!  Importante empresa del sector requiere un Sr. Full Stack Developer con experiencia en desarrollo de aplicaciones web con Ruby on Rails, Lenguaje Ruby, Javascript, HTML, CSS Conocimiento en procesos AGILE, o Scrum,  si tiene experiencia en entornos Linux es un plus. Actividades: Colaborar con gerentes de producto y diseñadores para crear soluciones de software que atiendan necesidades clave de clientes y objetivos del negocio. Liderar la implementación end-to-end: desde estimación de esfuerzo y planificación de sprints hasta la ejecución técnica. Garantizar la excelencia del producto mediante:  -  Pruebas unitarias rigurosas (TDD/BDD cuando aplica)  -  Cumplimiento de principios SOLID y estándares de código limpio  -  Optimización de rendimiento y reducción de deuda técnica  Competencias: Gran capacidad de comunicación, se necesita alguien que le guste opinar.  Sueldo: Entre 90k y 120k mensuales, pago por honorarios, no prestaciones Idioma: Inglés Avanzado Lugar de trabajo: De preferencia que viva en Zapopan, Jalisco, pero puede ser trabajo 100% remoto en cualquier parte de la república.  Haber trabajado en empresas de desarrollo de algún producto que se comercialice "
