"titulo","sueldo","ciudadModalidad","horario","idioma","requisitos"
"Desarrollador web fullstack en Idea15","$ 20,000 a 25,000 MXN (Neto)","Puebla - Híbrido","Empleado de tiempo completo","Inglés : Nivel Básico","Descripción del puesto: Desarrollador Full Stack (Laravel, Vue.js) Modalidad: Híbrido Sobre nosotros En IDEA15, desarrollamos soluciones tecnológicas innovadoras enfocadas en automatización fiscal, facturación electrónica y sistemas administrativos para empresas en México. Valoramos la creatividad, la colaboración y el compromiso con la excelencia. Nuestro equipo es diverso y apasionado por crear productos funcionales, escalables y de alto impacto. Lo que harás - Desarrollar y mantener aplicaciones web utilizando Laravel y Vue.js. - Colaborar con equipos multifuncionales para definir, diseñar y enviar nuevas funcionalidades. - Optimizar aplicaciones para máxima velocidad y escalabilidad. - Participar en revisiones de código y fomentar las mejores prácticas de desarrollo. Lo que buscamos Habilidades obligatorias: - Experiencia comprobable en Laravel (PHP) y Vue.js con TypeScript. - Dominio de GIT para control de versiones. - Experiencia con bases de datos MySQL y PostgreSQL. Habilidades deseables: - Conocimiento de AdonisJS Framework. - Experiencia con TDD (Test Driven Development). - Buenas prácticas de documentación y trabajo colaborativo. Prestaciones y beneficios - Días de vacaciones y días personales. - Oportunidades de desarrollo profesional. - Ambiente de trabajo flexible y colaborativo. "
"Desarrollador Front End Angular Middle en BI-SIM","$ 15,000 a 20,000 MXN (Neto)","Ciudad de México","Empleado de tiempo completo","Inglés : Nivel Intermedio","Se requiere: • Mínimo de experiencia 2 años Dominio en: USO de ANGULAR HTML, CSS JavaScript Frameworks como React, Angular o Vue.js. Desarrollo de aplicaciones complejas Optimización de rendimiento Transformación de diseño en Código funcional y/o maquetas Implementación de diseños responsivos,  diseño adaptable y consultas de medios.  Testing y Depuración Otras habilidades • Creatividad, lógica y capacidad para resolver problemas. • Colaboración con área de Diseño Prestaciones de ley (100 %) Modalidad Presencial Sueldo neto mensual 18 a 23 mil pesos "
"Desarrollador Full Stack Senior - Remoto en Capital Empresarial Horizonte","$ 45,000 a 50,000 MXN (Bruto)","Remoto: LATAM","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: Desarrollador/a Fullstack Inglés conversacional INDISPENSABLE Requisitos técnicos: Backend: Java 11 y 21 Spring Framework / Spring Boot Creación de microservicios JPA Redis - Deseable Kafka Streams –  Deseable Frontend: Vue.js Element Plus Tailwind CSS npm DevOps y Herramientas: Kubernetes AWS Jenkins GitHub Bases de Datos: Oracle DB SQL & NoSQL Responsabilidades: Diseñar y desarrollar aplicaciones web modernas y escalables en arquitectura de microservicios. Implementar soluciones backend con Java 11/21, Spring Boot y Spring Framework. Desarrollar interfaces de usuario ricas y funcionales utilizando Vue.js, Element Plus y Tailwind CSS. Integrar servicios y APIs RESTful. Participar activamente en la implementación de prácticas DevOps, CI/CD (Jenkins, GitHub). Trabajar con bases de datos relacionales y no relacionales (Oracle, SQL, NoSQL). Colaborar en entornos en la nube (AWS) y contenedores (Kubernetes). Escribir pruebas unitarias y de integración con JUnit5 y Mockito. Ofrecemos • Salario 100% nominal • Seguro de Gastos Médicos Mayores más Póliza de exceso ilimitado. • Seguro dental y visual. • Seguro de Vida. • Todas las prestaciones legales desde el primer año. • Prima vacacional del 50% • Aguinaldo a 24 días. • Vales de despensa  Interesados enviar su cv al"
"Ingeniero/a Full Stack WordPress Senior - Híbrido en Capital Empresarial Horizonte","$ 70,000 a 80,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: Ingeniero/a Full Stack WordPress Inglés Conversacional Obligatorio Para laborar en  CDMX o GDL o QRO o MTY Esquema Híbrido: 3 días en casa, 2 presenciales Requisitos: Experiencia de 3 a 6 años en puesto similar.  Experiencia comprobada desarrollando en WordPress (personalización avanzada de temas y plugins). Dominio de PHP, MySQL, JavaScript, HTML5 y CSS3. Conocimiento de frameworks y librerías frontend (React, Vue.js o similares es una ventaja). Familiaridad con herramientas de control de versiones como Git. Experiencia con entornos de desarrollo local (LocalWP, Docker, etc.) y despliegue en servidores o plataformas cloud. Buen entendimiento de SEO técnico, rendimiento web y seguridad en WordPress. Responsabilidades: Desarrollar, mantener y optimizar sitios web en WordPress, tanto desde el lado del servidor (PHP) como del cliente (HTML, CSS, JavaScript). Crear y personalizar temas y plugins de WordPress a medida. Integrar servicios de terceros y APIs REST o GraphQL. Asegurar la calidad del código, el rendimiento del sitio y su compatibilidad multiplataforma. Implementar buenas prácticas de seguridad, SEO técnico y accesibilidad web. Colaborar con diseñadores UX/UI y otros desarrolladores para entregar soluciones completas. Participar en despliegues, mantenimiento y soporte técnico de los sitios. Ofrecemos: Horario de Oficina Esquema 100% nomina Sueldo abierto a negociación de acuerdo a experiencia Prestaciones de Ley Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, PTU) Interesados enviar su cv al correo: reclutamiento(arroba)horizonteempresarial.com.mx"
"Developer Coordinador Full-Stack Senior en Kc Talent","$ 35,000 a 40,000 MXN (Neto)","Jalisco","Empleado de tiempo completo","Inglés : Nivel Intermedio","Ingeniero de Sistemas Developer Coordinador Ingeniero de Sistemas con sólida experiencia en desarrollo web full-stack y coordinación de equipos técnicos. Con más de 3 años de experiencia liderando proyectos tecnológicos desde la concepción hasta la entrega, combinando habilidades técnicas profundas con una visión estratégica orientada a resultados. Capaz de trabajar en entornos ágiles (SCRUM), fomentar la colaboración entre equipos y asegurar entregas de calidad en tiempo y forma. Habilidades Técnicas: Frontend: Lenguajes: HTML5, JavaScript Frameworks: React.js, Angular, Vue.js Backend: Lenguajes: PHP, Python, Java Frameworks y herramientas: Node.js, Express.js, Django Bases de Datos: Relacionales: MySQL, PostgreSQL NoSQL: MongoDB, Firebase DevOps & Nube: Control de versiones con Git (GitHub, GitLab, Bitbucket) Conocimientos básicos en AWS (EC2, S3, RDS, IAM) Metodologías Ágiles: Experiencia práctica trabajando con SCRUM (uso de Jira, Trello, Clickup)   Habilidades de Coordinación: Planificación y seguimiento de proyectos técnicos Facilitación de reuniones diarias, retrospectivas y planificación de sprints Coordinación de equipos de desarrolladores frontend y backend Traducción de requerimientos técnicos a lenguaje de negocio Garantizar buenas prácticas de desarrollo, integración continua y control de calidad Competencias Personales: Liderazgo técnico y toma de decisiones Comunicación clara y efectiva Resolución de problemas y pensamiento analítico Proactividad y adaptabilidad a nuevas tecnologías Intereses Profesionales: Desarrollo de arquitecturas escalables y robustas Mejora continua de procesos de desarrollo ágil Implementación de soluciones cloud y serverless SUELDO Y PRESTACIONES: ·        Contrato fijo, presencial ·        Horario L-V 9-2 y 4-7 ·        Esquema mixto / Pago Quincenal ·        Aguinaldo 20 días ·        Prestaciones de Ley ·        Caja de ahorro ·        Servicio Médico Particular ·        Sueldo mensual: 35,000 a 40,000  Ubicación: Guadalajara Zona: Av. México y López Mateos "
"Ingeniero/a Full Stack Senior - Híbrido en Capital Empresarial Horizonte","$ 45,000 a 50,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: Ingeniero/a Full Stack Inglés  intermedio a conversacional  INDISPENSABLE Esquema Hibrido Requisitos: Lic. terminada en informática o área similar Experiencia en desarrollo frontend y backend. Conocimiento de HTML, CSS, JavaScript y frameworks modernos. Manejo de al menos un lenguaje de programación para backend. Experiencia con control de versiones (Git). Familiaridad con arquitecturas REST, GraphQL o microservicios. Responsabilidades : Diseñar, desarrollar y mantener aplicaciones web escalables. Implementar interfaces de usuario interactivas y responsivas utilizando tecnologías modernas (como React, Angular o Vue.js). Desarrollar y mantener APIs y servicios backend (usando Node.js, Python, Java, etc.). Gestionar bases de datos relacionales y no relacionales (como MySQL, PostgreSQL, MongoDB). Asegurar la calidad del código mediante pruebas (unitarias, de integración y end-to-end). Participar en revisiones de código, integración continua y despliegue continuo (CI/CD). Colaborar con equipos de diseño, producto y otros desarrolladores. Ofrecemos: Salario 100% nominal • Seguro de Gastos Médicos Mayores más Póliza de exceso ilimitado. • Seguro dental y visual. • Seguro de Vida. • Todas las prestaciones legales desde el primer año. • Prima vacacional del 50% • Aguinaldo a 24 días. • Vales de despensa por $3300,53 Interesados enviar su cv al correo: reclutamiento(arroba)horizonteempresarial.com.mx"
"Desarrollador Java Full Stack Senior - Híbrido en Capital Empresarial Horizonte","$ 70,000 a 80,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Avanzado","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: Java Fullstack Developer Para laborar en CDMX o Guadalajara Esquema Híbrido: 3 días en casa, 2 presenciales Inglés conversacional requerido Estamos en la búsqueda de   Desarrolladores Java Fullstack  con sólida experiencia en desarrollo backend con Java y frontend con tecnologías modernas, además de conocimientos en diseño y consumo de  microservicios  . Requisitos:  4 + años de experiencia como desarrollador Java. Experiencia comprobada en desarrollo de  microservicios  (Spring Boot, REST, Docker, etc.). Conocimientos sólidos de  Java 8+  . Experiencia en tecnologías frontend:  Angular  ,  React  o  Vue.js  . Manejo de  bases de datos relacionales y no relacionales  (ej. PostgreSQL, MongoDB). Familiaridad con herramientas de CI/CD y control de versiones (  Git  , Jenkins). Buenas prácticas de programación y desarrollo ágil (Scrum, Kanban). Desplegar y gestionar servicios en plataformas cloud como AWS, Azure o GCP. Ofrecemos: Horario de Oficina Esquema 100% nomina Sueldo abierto a negociación de acuerdo a experiencia Prestaciones de Ley Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, PTU) Interesados enviar su cv al correo: reclutamiento(arroba)horizonteempresarial.com "
"Desarrollador Java Full Stack en Capital Empresarial Horizonte","$ 70,000 a 80,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Intermedio","Capital Empresarial Horizonte Empresa Mexicana especialista en Recursos Humanos y Tecnologías de la Información solicita: Java Fullstack Developer Para laborar en CDMX o Guadalajara Esquema Híbrido: 3 días en casa, 2 presenciales Inglés conversacional requerido Estamos en la búsqueda de  Desarrolladores Java Fullstack con sólida experiencia en desarrollo backend con Java y frontend con tecnologías modernas, además de conocimientos en diseño y consumo de microservicios . Requisitos:  4 + años de experiencia como desarrollador Java. Experiencia comprobada en desarrollo de microservicios (Spring Boot, REST, Docker, etc.). Conocimientos sólidos de Java 8+ . Experiencia en tecnologías frontend: Angular , React o Vue.js . Manejo de bases de datos relacionales y no relacionales (ej. PostgreSQL, MongoDB). Familiaridad con herramientas de CI/CD y control de versiones ( Git , Jenkins). Buenas prácticas de programación y desarrollo ágil (Scrum, Kanban). Ofrecemos: Horario de Oficina Esquema 100% nomina Sueldo abierto a negociación de acuerdo a experiencia Prestaciones de Ley Prestaciones superiores (SGMM familiar, SV 1 millón, Vales de despensa, 30 días de aguinaldo, PTU) Si te encuentras interesado, manda tu CV a:      contacto (arroba) horizonteempresarial.com.mx"
"Desarrollador Frontend Sr. - Híbrido en Adecco","$ 50,000 a 60,000 MXN (Bruto)","Ciudad de México - Híbrido","Empleado de tiempo completo","Inglés : Nivel Básico","¿Quiénes somos? En  Minsait , una compañía de  Indra , transformamos el presente con tecnología y mirada humana. Somos una de las principales empresas de transformación digital y Tecnologías de la Información en el mundo. Impulsamos un futuro más eficiente, sostenible y seguro, acompañando a grandes empresas e instituciones en sus retos clave. ¿Nuestra diferencia?  Combinamos talento, innovación, compromiso social y tecnología para generar un impacto real. Aquí, tu conocimiento y pasión por la tecnología tienen un propósito: cambiar la vida de millones de personas. Resumen del rol Buscamos un  Frontend Developer  con experiencia sólida en desarrollo web y frameworks modernos, apasionado(a) por crear interfaces eficientes, accesibles y escalables. Este rol será clave en proyectos estratégicos de transformación digital dentro del ecosistema tecnológico de BBVA. Lo que harás Desarrollar y mantener aplicaciones frontend utilizando  Angular, React, VueJS o LitElement . Implementar componentes reutilizables y optimizados con enfoque en  Web Components . Colaborar con equipos multidisciplinarios bajo metodologías  ágiles (Scrum, Kanban) . Aplicar principios de  OOP, programación funcional y arquitectura MVC. Diseñar soluciones que cumplan estándares de calidad utilizando herramientas de  pruebas unitarias  como Jasmine, Mocha o Jest. Integrar tu desarrollo en el ecosistema de integración continua de BBVA:  Jenkins, Artifactory, Ether , entre otros. (preferentemente) Perfil que buscamos +3 años de experiencia trabajando con  Cells  (preferentemente). Sólidos conocimientos en  JavaScript, HTML, CSS, JQuery . Dominio de control de versiones con  GIT . Conocimiento en  CLI, REST APIs  y pruebas unitarias. Experiencia en  LitElement o Polymer . Buenas prácticas de documentación, comunicación efectiva y trabajo colaborativo. Alta  proactividad, adaptabilidad  e iniciativa para resolver retos de forma creativa. Lo que te encantará Formar parte de un equipo con impacto real en el sector financiero. Aprender constantemente con acceso a  cursos y certificaciones . Contribuir a soluciones digitales que transforman sectores clave. Una cultura centrada en las  personas, innovación y sostenibilidad . Posibilidad de crecimiento dentro de una empresa con presencia global. Modalidad y beneficios Modalidad de trabajo : Híbrida (CDMX) Tipo de contrato : Nómina 100% Beneficios adicionales : Fondo de ahorro Vales de despensa Seguro de vida, dental y de la vista Horarios flexibles Oportunidad de trabajo desde casa Cursos y certificaciones Descuentos en gimnasios y comercios Nuestros valores fundamentales Liderazgo en innovación Compromiso con las personas Impacto sostenible Excelencia operativa Colaboración y crecimiento conjunto ¿Listo(a) para dejar huella con tu talento? En Minsait, tú eres el motor de la transformación ."
"Desarrollador Fullstack Middle - Remoto en Quo Digital","$ 30,000 a 35,000 MXN (Neto)","Remoto: LATAM","Empleado de tiempo completo","Inglés : Nivel Básico"," Objetivo del Puesto: Buscamos un apasionado Desarrollador Fullstack para unirse a nuestro equipo dinámico y colaborar en la creación de experiencias de usuario excepcionales. El candidato ideal poseerá habilidades sólidas en el desarrollo web. Responsabilidades Construir y mantener aplicaciones interactivas , asegurando un rendimiento óptimo y una experiencia de usuario excepcional. Traducir mockups y prototipos en interfaces funcionales y atractivas, en colaboración con el equipo de diseño. Implementar soluciones front-end para web y móvil , garantizando una experiencia fluida y eficiente. Desarrollar y optimizar la conexión con servicios back-end utilizando Node.js, APIs REST y GraphQL. Asegurar la escalabilidad y rendimiento de las aplicaciones mediante buenas prácticas de desarrollo. Trabajar en conjunto con desarrolladores back-end, diseñadores y otros equipos para garantizar una implementación consistente. Requisitos 3 años de experiencia como Desarrollador Fullstack Conocimientos en: Django, VueJS, Angular, JavaScript, NodeJS, HTML5, CSS3, GraphQL,  Microservicios  Manejo de bases de datos   PostgreSQL . Familiaridad con APIs REST y servicios web. Experiencia con Git y metodologías ágiles. Pensamiento analítico, atención al detalle y habilidades de resolución de problemas. Capacidad de trabajo en equipo y comunicación efectiva. Conocimientos deseables: Manejo de Arquitecturas escalables Queremos conocerte, postula con tu hoja de vida actualizada."
